Restaurant,Date,Cost,Status,Items
မြိန်မြိန်လေး စားဖွယ်စုံ (Halal),2021-08-26,"MMK5,250",Cancelled,"['1xမှိုကဇွန်း,1xကြက်ပင်စိမ်းဟင်း']"
မဟာ,2021-08-25,"MMK4,550",Cancelled,"['2xBreakfastFriedRice,1xSamosa,2xSteamedMilkTea']"
တာတူးရသာဒန်ပေါက်,2021-08-24,"MMK2,950",Cancelled,['1xChickenOilCurry']
WHAT A CHICKEN (City Mall),2021-08-24,"MMK5,200",Cancelled,"['1xBBQChicken,1xSpicyFriedChicken,1xPlainPorridge']"
မြိန်မြိန်လေး စားဖွယ်စုံ (Halal),2021-08-23,"MMK2,250",Cancelled,"['1xခရမ်းချဉ်သီးအစာသွပ်,1xအစုံသုပ်']"
မဟာ,2021-08-23,"MMK2,950",Cancelled,"['1xMohingha,1xMohingha,1xFriedMatpe']"
နေရီရီ,2021-08-22,"MMK5,250",Cancelled,"['1xအခေါက်အသားကင်ပဲချိုရည်ဆမ်း,1xGrilledPorkRingSalad']"
Titu’s Indian Bistro (Junction City),2021-08-21,"MMK4,850",Cancelled,"['1xChickenCurryDailySpecial1,1xSambalDal,1xSamosaSalad']"
Super King ခုနစ်လွှာပေါက်စီ (လမ်းမတော်),2021-08-21,"MMK4,150",Cancelled,"['1xTea,1xCoffee,1xChickenSevenlayersBaozi,1xPorkSevenlayersBaozi,1xBlackBeanSevenlayersBaozi']"
Shwe Nyaung Pin  Rice Shop,2021-08-20,"MMK6,750",Cancelled,"['1xရုံးပတီသီးကြော်,1xကန်စွန်းပလိန်းကြော်,1xအစိမ်းကြော်,1xငါးဘက်မွှေ']"
မဟာ,2021-08-20,"MMK5,850",Cancelled,"['2xSteamedMilkTea,1xNannPyarSalad,1xNannGyiSalad']"
မြိန်မြိန်လေး စားဖွယ်စုံ (Halal),2021-08-18,"MMK4,950",Cancelled,"['1xအစုံသုပ်,1xယိုးဒယားကြက်ကြော်']"
မဟာ,2021-08-18,"MMK4,550",Cancelled,"['2xBreakfastFriedRice,1xFriedMatpe,1xMilk,1xSteamedMilkTea']"
မြိန်မြိန်လေး စားဖွယ်စုံ (Halal),2021-08-17,"MMK5,050",Cancelled,"['1xကြက်ကုန်းဘောင်,1xအစိမ်းကြော်']"
New Lwin ( Burmese Cuisine ),2021-08-16,"MMK4,550",Cancelled,"['1xVillageStyleChickenCurry,1xDuckEggCurry,1xSalad']"
မြိန်မြိန်လေး စားဖွယ်စုံ (Halal),2021-08-16,"MMK5,250",Cancelled,"['1xကြက်ကချင်ချက်,1xမှိုကဇွန်း']"
