FID,the_geom,SD_Pcode,D_Pcode,District,TS_Pcode,Township,Town_Pcode,Town_MM,Town,State_Divi,Longitude,Latitude,Level,Source,Lat_Long,Remark
mmr_town_january_2020.1,POINT (100.54972 21.33094),MMR016,MMR016D003,Tachileik,MMR016011,Mongyawng,MMR016011702,မိုင်းယု,Mongyu,Shan (East),100.54972,21.33094,Other Town,"GAD, Mar 2015","21.33094,100.54972",
mmr_town_january_2020.2,POINT (100.534 20.867),MMR016,MMR016D003,Tachileik,MMR016009,Tachileik,MMR016009702,ကျိုင်းလပ်,Kenglat,Shan (East),100.534,20.867,Other Town,"GAD, Mar 2015","20.867,100.534",
mmr_town_january_2020.3,POINT (100.35942 21.18165),MMR016,MMR016D003,Tachileik,MMR016011,Mongyawng,MMR016011701,မိုင်းယောင်း,Mongyawng,Shan (East),100.35942,21.18165,Main Town,"GAD, Mar 2015","21.18165,100.35942",
mmr_town_january_2020.4,POINT (100.093069143 20.7126192543),MMR016,MMR016D003,Tachileik,MMR016009,Tachileik,MMR016009703,တာလေ,Tarlay,Shan (East),100.0930691,20.71261925,Other Town,"GAD, Mar 2015","20.7126192543,100.093069143",
mmr_town_january_2020.5,POINT (100.01867 21.6729),MMR016,MMR016D001,Kengtung,MMR016005,Mongla,MMR016005701,မိုင်းလား,Mongla,Shan (East),100.01867,21.6729,Main Town,"GAD, Mar 2015","21.6729,100.01867",
mmr_town_january_2020.6,POINT (99.92333 20.87804),MMR016,MMR016D003,Tachileik,MMR016010,Monghpyak,MMR016010701,မိုင်းဖြတ်,Monghpyak,Shan (East),99.92333,20.87804,Main Town,"GAD, Mar 2015","20.87804,99.92333",
mmr_town_january_2020.7,POINT (99.88403 20.45304),MMR016,MMR016D003,Tachileik,MMR016009,Tachileik,MMR016009701,တာချီလိတ်,Tachileik,Shan (East),99.88403,20.45304,District Capital,"GAD, Mar 2015","20.45304,99.88403",
mmr_town_january_2020.8,POINT (99.68711 21.84235),MMR016,MMR016D001,Kengtung,MMR016003,Mongyang,MMR016003701,မိုင်းယန်း,Mongyang,Shan (East),99.68711,21.84235,Main Town,"GAD, Mar 2015","21.84235,99.68711",
mmr_town_january_2020.9,POINT (99.6036 21.29189),MMR016,MMR016D001,Kengtung,MMR016001,Kengtung,MMR016001701,ကျိုင်းတုံ,Kengtung,Shan (East),99.6036,21.29189,District Capital,"GAD, Mar 2015","21.29189,99.6036",
mmr_town_january_2020.10,POINT (99.59892 21.98542),MMR016,MMR016D333,Mong Pawk (Wa SAD),MMR016319,Mong Hpen,MMR016319701,မိုင်းဖျန်,Mong Hpen,Shan (East),99.59892,21.98542,Other Town,Field Sources,"21.98542,99.59892",Town not included in the GAD Gazette
mmr_town_january_2020.11,POINT (99.54377 22.03584),MMR016,MMR016D333,Mong Pawk (Wa SAD),MMR016320,Ho Tawng (Ho Tao),MMR016320701,ဟိုတောင်း,Ho Tawng (Ho Tao),Shan (East),99.54377,22.03584,Other Town,Field Sources,"22.03584,99.54377",Town not included in the GAD Gazette
mmr_town_january_2020.12,POINT (99.4636009715 20.7404832998),MMR016,MMR016D002,Monghsat,MMR016006,Monghsat,MMR016006702,မိုင်းခုတ်,Mongkhoke,Shan (East),99.46360097,20.7404833,Other Town,"GAD, Mar 2015","20.7404832998,99.4636009715",
mmr_town_january_2020.13,POINT (99.46377 21.7499),MMR016,MMR016D001,Kengtung,MMR016002,Mongkhet,MMR016002701,မိုင်းခတ်,Mongkhet,Shan (East),99.46377,21.7499,Main Town,"GAD, Mar 2015","21.7499,99.46377",
mmr_town_january_2020.14,POINT (99.46016 22.9794),MMR015,MMR015D331,Mong Maw (Wa SAD),MMR015306,Hkun Mar (Hkwin Ma),MMR015306701,ခွန်းမား,Hkun Mar (Hkwin Ma),Shan (North),99.46016,22.9794,Other Town,Field Sources,"22.9794,99.46016",Town not included in the GAD Gazette
mmr_town_january_2020.15,POINT (99.41942 21.84343),MMR016,MMR016D333,Mong Pawk (Wa SAD),MMR016322,Mong Kar,MMR016322701,မိုင်းကာ,Mong Kar,Shan (East),99.41942,21.84343,Other Town,Field Sources,"21.84343,99.41942",Town not included in the GAD Gazette
mmr_town_january_2020.16,POINT (99.36871 22.90568),MMR015,MMR015D331,Mong Maw (Wa SAD),MMR015307,Long Htan,MMR015307701,လုံထန်,Long Htan,Shan (North),99.36871,22.90568,Other Town,Field Sources,"22.90568,99.36871",Town not included in the GAD Gazette
mmr_town_january_2020.17,POINT (99.31591 23.03502),MMR015,MMR015D006,Hopang,MMR015007,Pangwaun,MMR015007701,ပန်ဝိုင်,Pangwaun,Shan (North),99.31591,23.03502,Main Town,Field Sources,"23.03502,99.31591",Town not included in the GAD Gazette
mmr_town_january_2020.18,POINT (99.31197 22.95939),MMR015,MMR015D331,Mong Maw (Wa SAD),MMR015308,Yawng Lin,MMR015308701,ယောင်လင်း,Yawng Lin,Shan (North),99.31197,22.95939,Other Town,Field Sources,"22.95939,99.31197",Town not included in the GAD Gazette
mmr_town_january_2020.19,POINT (99.3101 22.0082),MMR016,MMR016D001,Kengtung,MMR016003,Mongyang,MMR016003702,မိုင်းပေါက်,Mongpauk,Shan (East),99.3101,22.0082,Other Town,"GAD, Mar 2015","22.0082,99.3101",
mmr_town_january_2020.20,POINT (99.28781 21.33004),MMR016,MMR016D001,Kengtung,MMR016007,Mongping,MMR016007702,တုံတာ,Tontar,Shan (East),99.28781,21.33004,Other Town,"GAD, Mar 2015","21.33004,99.28781",
mmr_town_january_2020.21,POINT (99.28307 22.62819),MMR015,MMR015D331,Mong Maw (Wa SAD),MMR015312,Yin Pang,MMR015312701,ရင်ဖန့်,Yin Pang,Shan (North),99.28307,22.62819,Other Town,Field Sources,"22.62819,99.28307",Town not included in the GAD Gazette
mmr_town_january_2020.22,POINT (99.24724 20.50544),MMR016,MMR016D002,Monghsat,MMR016006,Monghsat,MMR016006701,မိုင်းဆတ်,Monghsat,Shan (East),99.24724,20.50544,District Capital,"GAD, Mar 2015","20.50544,99.24724",
mmr_town_january_2020.23,POINT (99.22504 23.08321),MMR015,MMR015D331,Mong Maw (Wa SAD),MMR015305,Hsawng Hpa (Saun Pha),MMR015305701,ဆောင်ဖ,Hsawng Hpa (Saun Pha),Shan (North),99.22504,23.08321,Other Town,Field Sources,"23.08321,99.22504",Town not included in the GAD Gazette
mmr_town_january_2020.24,POINT (99.22358 22.76395),MMR015,MMR015D331,Mong Maw (Wa SAD),MMR015311,Aik Chan (Ai' Chun),MMR015311701,အိုက်ချန်,Aik Chan (Ai' Chun),Shan (North),99.22358,22.76395,Other Town,Field Sources,"22.76395,99.22358",Town not included in the GAD Gazette
mmr_town_january_2020.25,POINT (99.19678 21.92563),MMR016,MMR016D333,Mong Pawk (Wa SAD),MMR016323,Nam Hpai,MMR016323701,နမ့်ဖိုင်,Nam Hpai,Shan (East),99.19678,21.92563,Other Town,Field Sources,"21.92563,99.19678",Town not included in the GAD Gazette
mmr_town_january_2020.26,POINT (99.18664 22.47704),MMR015,MMR015D332,Wein Kawng (Wein Kao) (Wa SAD),MMR015315,Nam Hkam Wu,MMR015315701,နမ်ခမ်းဝူး,Nam Hkam Wu,Shan (North),99.18664,22.47704,Other Town,Field Sources,"22.47704,99.18664",Town not included in the GAD Gazette
mmr_town_january_2020.27,POINT (99.17044 22.17594),MMR015,MMR015D007,Matman,MMR015005,Pangsang,MMR015005701,ပန်ဆန်း (ပန်ခမ်း),Pangsang (Pang Hkam),Shan (North),99.17044,22.17594,Main Town,"GAD, Mar 2015","22.17594,99.17044",
mmr_town_january_2020.28,POINT (99.09843 22.60297),MMR015,MMR015D007,Matman,MMR015006,Narphan,MMR015006701,နားဖန်,Narphan,Shan (North),99.09843,22.60297,Main Town,Field Sources,"22.60297,99.09843",Town not included in the GAD Gazette
mmr_town_january_2020.29,POINT (99.026 21.3502),MMR016,MMR016D001,Kengtung,MMR016007,Mongping,MMR016007701,မိုင်းပျဉ်း,Mongping,Shan (East),99.026,21.3502,Main Town,"GAD, Mar 2015","21.3502,99.026",
mmr_town_january_2020.30,POINT (99.0127764916 12.0894052627),MMR006,MMR006D002,Myeik,MMR006008,Tanintharyi,MMR006008701,တနင်္သာရီ,Tanintharyi,Tanintharyi,99.01277649,12.08940526,Main Town,"GAD, Mar 2015","12.0894052627,99.0127764916",
mmr_town_january_2020.31,POINT (99.0014383295 11.4684212529),MMR006,MMR006D003,Kawthoung,MMR006010,Bokpyin,MMR006010702,ပြည်ကြီးမဏ္ဍိုင်,Pyigyimandaing,Tanintharyi,99.00143833,11.46842125,Other Town,"GAD, Mar 2015","11.4684212529,99.0014383295",
mmr_town_january_2020.32,POINT (98.9674 22.9672),MMR015,MMR015D006,Hopang,MMR015008,Mongmao,MMR015008701,မိုင်းမော,Mongmao,Shan (North),98.9674,22.9672,Main Town,Field Sources,"22.9672,98.9674",Town not included in the GAD Gazette
mmr_town_january_2020.33,POINT (98.93896 22.30273),MMR015,MMR015D332,Wein Kawng (Wein Kao) (Wa SAD),MMR015314,Nawng Hkit,MMR015314702,ဝိန်းကောင်,Wein Kawn,Shan (North),98.93896,22.30273,Other Town,Field Sources,"22.30273,98.93896",Town not included in the GAD Gazette
mmr_town_january_2020.34,POINT (98.9382 19.8892),MMR016,MMR016D002,Monghsat,MMR016008,Mongton,MMR016008702,ပုံပါကျင်,Ponparkyin,Shan (East),98.9382,19.8892,Other Town,"GAD, Mar 2015","19.8892,98.9382",
