,Filename,PDF Link,Title
0,Leaflet No.25. Kyaw Win Maung.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.25.%20Kyaw%20Win%20Maung_0.pdf,"Comparison on Morphological and Anatomical Characteristics of Byu Species Found in Bogalay Township, Ayeyawady Region"
1,Leaflet No.24 Thida Cho.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.24%20Thida%20Cho.pdf,Isolation and Structural Identification of Medicinal Quercetin Compound from Stem Bark of Lannea coromandelica (Nabe)
2,Leaflet No.23. Lwin Lwin Aung.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.23.%20Lwin%20Lwin%20Aung.pdf,Evaluation the Decay and Termite Resistance of Untreated and Treated In (Dipterocarpus spp:)
3,Leaflet No.22. Tun Tun Win.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.22.%20Tun%20Tun%20Win.pdf,Study on Distribution of Teak Mistletoe (Loranthus pulverulentus Wall.) Control Measures and Teak Growth Assessment in Moeswe Teak Plantations
4,Leaflet No.21. Wai Wai Than.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.21.%20Wai%20Wai%20Than.pdf,Evaluation on Invasive Species Characteristics and Visions of Rural People to Introduced Species Prosopis juliflora (SW.) DC. in Dry Zone of Myanmar
5,Leaflet No.20. Phyu Phyu Lwin.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.20.%20Phyu%20Phyu%20Lwin.pdf,Estimating Merchantable Stem Biomass (Bole Biomass) of Nine Hardwood Species in Myanmar
6,Leaflet No.19. Dr. Yu Ya Aye.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.19.%20Dr.%20Yu%20Ya%20Aye.pdf,Estimation of Carbon Storage of Different Forest Types to Support REDD+ in Myanmar
7,Leaflet No.18. Dr Nyunt Khaing.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.18.%20Dr%20Nyunt%20Khaing.pdf,Prosopis juliflora as a Bio-indicator of Dryland Salinity in Central Myanmar
8,Leaflet No.17. Mu Mu Aung.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.17.%20Mu%20Mu%20Aung.pdf,Assessment on Plant Diversity of the Popa Mountain Park in Myanmar
9,Leaflet No.16. Khin Thidar Htun.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.16.%20Khin%20Thidar%20Htun.pdf,"Composition and Structure of Mixed Deciduous Forests in Bago Yoma (Case Study in Yedashe, Pyinmana, Taungdwingyi townships)"
10,Leaflet No.15. Dr Chaw Chaw Sein.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.15.%20Dr%20Chaw%20Chaw%20Sein.pdf,Assessment on the Species Composition and Stand Structure of Three Different Mixed Deciduous Forest Types in Alaungdaw Kathapa National Park
11,Leaflet No.14. Dr.Tin Min Maung.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.14.%20Dr.Tin%20Min%20Maung.pdf,Up-scaling Community Forestry in Myanmar from Basic Needs to Commercialization
12,Leaflet No.13. Phyu Phyu Swe.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.13.%20Phyu%20Phyu%20Swe.pdf,A Comparative Study of the Physio-chemical Properties in Soil Profile Under Different Forest Types
13,Leaflet No.12. Billy Ne Win.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.12.%20Billy%20Ne%20Win.pdf,Study on Soil Erosion in Abandon Shifting Cultivations in Bago Yoma Watershed Areas
14,Leaflet No.11. Dr Rosy Ne Win.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.11.%20Dr%20Rosy%20Ne%20Win.pdf,"Analysis of shifting cultivation practices and Teak Regeneration and Soil Nutrient on Fallow Lands in Bago Mountains, Myanmar"
15,Leaflet No.10. Pyae Pyae Win.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.10.%20Pyae%20Pyae%20Win.pdf,Study on Sterilization Methods and Shoot Formation of Teak (Tectona grandis L.f.) Tissue Culture
