hero_name,role,defense_overall,offense_overall,skill_effect_overall,difficulty_overall,movement_spd,magic_defense,mana,hp_regen,physical_atk,physical_defense,hp,attack_speed,mana_regen,win_rate,pick_rate,ban_rate,release_year
Terizla,fighter,7.0,8.0,6.0,6.0,255,10,430,54,129,19,2728,0.8,21,47.0,0.15,0.02,2019
Martis,fighter,6.0,8.0,5.0,5.0,260,10,0,35,128,25,2738,0.86,0,45.0,0.15,0.02,2018
Grock,tank,8.0,5.0,6.0,4.0,260,10,430,42,135,21,2819,0.81,12,47.69,0.14,0.02,2017
Carmilla,support,5.0,5.0,9.0,5.0,255,10,430,39,126,25,2528,0.91,16,53.76,0.08,0.02,2020
Irithel,marksman,5.0,5.0,8.0,7.0,260,10,438,35,118,17,2540,0.82,15,51.52,0.38,0.03,2017
Thamuz,fighter,7.0,7.0,7.0,6.0,250,10,0,37,107,22,2758,0.84,0,47.39,0.33,0.03,2018
Leomord,fighter,6.0,8.0,6.0,6.0,240,10,0,35,126,21,2738,0.84,0,50.1,0.31,0.03,2018
Lunox,mage,7.0,5.0,8.0,7.0,240,10,540,34,115,15,2521,0.8,23,49.54,0.24,0.03,2018
Aurora,mage,4.0,5.0,9.0,6.0,240,10,750,34,110,17,2501,0.8,23,47.93,0.23,0.03,2017
Minsitthar,fighter,6.0,7.0,4.0,3.0,260,10,380,37,121,23,2698,0.85,16,50.54,0.17,0.03,2018
Alpha,fighter,7.0,7.0,6.0,7.0,260,10,453,39,121,20,2646,0.96,31,48.5,0.25,0.04,2017
Kimmy,marksman,5.0,7.0,8.0,7.0,245,10,100,40,104,22,2570,0.82,0,54.21,0.16,0.04,2018
Vexana,mage,4.0,5.0,9.0,7.0,245,10,490,38,112,17,2481,0.8,20,50.47,0.1,0.04,2017
Karrie,marksman,3.0,9.0,5.0,9.0,240,10,440,40,120,17,2578,0.83,15,45.19,0.72,0.05,2017
Ruby,fighter,8.0,4.0,6.0,7.0,260,0,430,30,114,23,2859,0.85,14,52.32,0.51,0.05,2017
Belerick,tank,8.0,6.0,6.0,4.0,250,10,450,42,110,15,2719,0.81,12,52.56,0.41,0.05,2018
Lolita,tank,8.0,5.0,7.0,5.0,260,10,480,48,115,27,2679,0.78,12,56.49,0.13,0.05,2016
Akai,tank,8.0,6.0,5.0,4.0,260,0,422,42,115,24,2769,0.85,12,49.28,0.61,0.06,2016
Moskov,marksman,3.0,9.0,5.0,7.0,240,10,420,32,125,16,2455,0.81,15,49.27,0.48,0.06,2017
